arch,condition,seed,reward_x,reward_y,final_loss,coverage,side,Ng,reward_z,wrong_z_mean,specificity_z,reward_rank_percentile,peak_error,top10_com_error,spatial_corr_reward_log_metric,area_reward_z,area_wrong_z_mean,area_specificity_z,area_reward_rank_percentile,area_peak_error,area_top10_com_error,area_spatial_corr_reward_log_metric,mean_area,mean_stretch
jepa,reward,20260702,0.5,0.25,1.912889003753662,1.0,16,256,0.10775128542581097,0.04369346227385746,0.06405782315195352,0.49489795918367346,0.4487637339278753,0.38508903547725,0.009962674524389013,-0.24867426925446132,0.02138363854973415,-0.2700579078041955,0.3469387755102041,0.41799787346614836,0.3335560419024614,-0.15029386453203897,0.28993077111608656,1.1341846947815708
jepa,reward,20260702,0.5,0.5,0.33256199955940247,1.0,16,256,1.4437684408234974,0.4435741221463928,1.0001943186771047,0.9387755102040817,0.04714045207910316,0.019052310914106585,0.6733433802985302,1.4353007257536767,0.4628904065959097,0.9724103191577671,0.9387755102040817,0.04714045207910316,0.018815681094203323,0.6729150797591478,8.452938841059474,2.926531788315305
jepa,reward,20260702,0.5,0.75,1.0510001182556152,1.0,16,256,0.7252621022473105,-0.18464743469927802,0.9099095369465885,0.7653061224489796,0.1536590742882148,0.08048644467038582,0.35068152762971894,-0.25841847852474636,-0.08339222556722961,-0.17502625295751675,0.35714285714285715,0.722072634081149,0.48919214491934765,-0.060352603392291135,0.9323504457242531,2.3709307391228363
jepa,reward,20260702,0.75,0.25,0.9575664401054382,1.0,16,256,1.0494152858440713,-0.002426089559139505,1.0518413754032108,0.8571428571428571,0.28382310609877337,0.013744860525443717,0.41688070185370385,-0.16062488947812564,-0.03430821657077588,-0.12631667290734977,0.4489795918367347,0.7778174593052023,0.563058107919396,-0.08922144177026974,0.8912035732811417,2.885569265871932
jepa,reward,20260702,0.75,0.5,1.072668194770813,1.0,16,256,0.8666265830388522,0.0034115912774677487,0.8632149917613845,0.75,0.4362084109434134,0.10644958915990371,0.35170102329905095,-0.12712737878390748,0.05725359938919229,-0.18438097817309979,0.4489795918367347,0.722072634081149,0.43004789419090744,-0.14514482769323586,0.8908843142747378,2.4537283612422374
jepa,reward,20260702,0.75,0.75,1.4858754873275757,1.0,16,256,-0.16805489478397256,0.36800986419104115,-0.5360647589750137,0.37755102040816324,0.35978388574871506,0.34721257891583357,-0.10705907101388369,-0.06668576880963986,0.27017229571896484,-0.3368580645286047,0.4489795918367347,0.6851601597031488,0.31168492376362306,-0.033872508286508285,1.5380335820402946,1.8363086329833695
rnn,control,20360702,0.25,0.25,0.22912898659706116,1.0,16,256,0.6121304912209417,0.3494908227590815,0.26263966846186015,0.7346938775510204,0.7321960878829599,0.570947935430131,0.18969370148443296,0.610309092019182,0.3469235827218087,0.26338550929737337,0.7397959183673469,0.7321960878829599,0.5663053506688799,0.18977418537544707,15.963595425826586,3.9951941119177126
rnn,control,20360702,0.25,0.5,0.22912898659706116,1.0,16,256,-0.04002586230073304,0.43101036694929085,-0.47103622925002386,0.41836734693877553,0.568868272195867,0.4676189969620495,0.01748009785352042,-0.028979816285125137,0.42683469625984705,-0.4558145125449722,0.41836734693877553,0.568868272195867,0.4627688201018622,0.022210046236449503,15.963595425826586,3.9951941119177126
rnn,control,20360702,0.25,0.75,0.22912898659706116,1.0,16,256,-0.2826549165940272,0.46133899873595263,-0.7439939153299798,0.34183673469387754,0.48591265790377497,0.4861620179196001,-0.17989887428376772,-0.27372076146719565,0.45742731440760587,-0.7311480758748015,0.34183673469387754,0.48591265790377497,0.4822947351161284,-0.17538066176586967,15.963595425826586,3.9951941119177126
rnn,control,20360702,0.5,0.25,0.22912898659706116,1.0,16,256,0.5186707723704603,0.3611732876153917,0.15749748475506864,0.6581632653061225,0.597448277631164,0.3987567675191527,0.2461652190573826,0.5195352374187125,0.35827031454686736,0.16126492287184518,0.6581632653061225,0.597448277631164,0.39502966700679376,0.2462566092357936,15.963595425826586,3.9951941119177126
